Monarch;Birth_year;Beginning_reign_year;End_reign_year;Death_year;Source
Gorm_den_gamle;NA;936;958;958;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Harald_1_blåtand;NA;958;987;987;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Svend_1_Tveskæg;NA;987;1014;1014;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Harald_2;NA;1014;1018;1018;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Knud_1_den_store;995;1018;1035;1035;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Hardeknud;1020;1035;1042;1042;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Magnus_den_gode;1024;1042;1047;1047;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Svend_2_Estridsen;NA;1047;1074;1076;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Harald_3_Hen;NA;1074;1080;1080;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Knud_2_den_hellige;NA;1080;1086;1086;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Oluf_1_hunger;NA;1086;1095;1095;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Erik_1_ejegod;1056;1095;1103;1103;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Niels;NA;1004;1134;1134;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Erik_2_Emune;NA;1134;1137;1137;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Erik_3_Lam;NA;1137;1146;1146;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Svend_3;NA;1146;1157;1157;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Knud_3;NA;1146;1157;1157;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Valdemar_1_den_store;1131;1157;1182;1182;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Knud_4;1163;1182;1202;1202;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Valdemar_2_sejr;1170;1202;1241;1241;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Erik_4_Plovpenning;1216;1241;1250;1250;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Abel;1218;1250;1252;1252;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Christoffer_1;1219;1252;1259;1259;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Erik_5_Klipping;1249;1259;1256;1256;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Erik_6_Menved;1274;1286;1319;1319;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Christoffer_2;1276;1320;1326;1332;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Valdemar_3;1314;1326;1330;1330;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Christoffer_2;1276;1326;1332;1332;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Valdemar_4_Atterdag;1320;1340;1375;1375;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Oluf_2;1370;1376;1387;1387;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Margrete_1;1353;1387;1412;1412;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Erik_7_af_Pommern;1382;1412;1439;1459;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Christoffer_3_af_Bayern;1416;1440;1448;1448;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Christian_1;1426;1448;1481;1481;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Hans;1455;1481;1513;1513;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Christian_2;1481;1513;1523;1559;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Frederik_1;1471;1523;1533;1533;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Christian_3;1503;1534;1559;1559;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Frederik_2;1534;1559;1588;1588;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Christian_4;1577;1588;1648;1648;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Frederik_3;1609;1648;1670;1670;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Christian_5;1646;1670;1699;1699;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Frederik_4;1671;1699;1730;1730;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Christian_6;1699;1730;1746;1746;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Frederik_5;1723;1746;1766;1766;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Christian_7;1749;1766;1808;1808;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Frederik_6;1768;1808;1839;1839;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Christian_8;1786;1839;1848;1848;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Frederik_7;1808;1848;1863;1863;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Christian_9;1818;1863;1906;1906;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Frederik_8;1843;1906;1912;1912;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Christian_10;1870;1912;1947;1947;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Frederik_9;1899;1947;1972;1972;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Margrethe_2;1940;1972;2024;NA;https://danmarkshistorien.dk/vis/materiale/kongeraekken
Frederik_10;1968;2024;NA;NA;https://danmarkshistorien.dk/vis/materiale/kongeraekken
