king_id;name;nickname;number;birth_year;birth_month;birth_day;death_year;death_month;death_day;reign_start_year;reign_start_month;reign_start_day;reign_end_year;reign_end_month;reign_end_day;sec_reign_start;sec_reign_end
1;Gorm;"""den gamle"" ";NA;NA;NA;NA;958;NA;NA;NA;NA;NA;958;NA;NA;NA;NA
2;Harald;Blaatand;1;NA;NA;NA;987;NA;NA;958;NA;NA;987;NA;NA;NA;NA
3;Svend;Tveskaeg;1;NA;NA;NA;1014;NA;NA;987;NA;NA;1014;NA;NA;NA;NA
4;Harald;Svensen;2;NA;NA;NA;1018;NA;NA;1014;NA;NA;1018;NA;NA;NA;NA
5;Knud;"""den store""";2;995;NA;NA;1035;NA;NA;1018;NA;NA;1035;NA;NA;NA;NA
6;Knud;Hardeknud;3;1020;NA;NA;1042;NA;NA;1035;NA;NA;1042;NA;NA;NA;NA
7;Magnus;"""den gode""";1;1024;NA;NA;1047;NA;NA;1042;NA;NA;1047;NA;NA;NA;NA
8;Svend;Estridsen;2;NA;NA;NA;1076;4;28;1047;NA;NA;1074;NA;NA;NA;NA
9;Harald;Hen;3;NA;NA;NA;1080;NA;NA;1074;NA;NA;1080;NA;NA;NA;NA
10;Knud;"""den hellige""";4;NA;NA;NA;1086;7;10;1080;NA;NA;1086;NA;NA;NA;NA
11;Oluf;Hunger;1;NA;NA;NA;1095;NA;NA;1086;7;10;1095;NA;NA;NA;NA
12;Erik;Ejegod;1;1056;NA;NA;1103;NA;NA;1095;NA;NA;1103;NA;NA;NA;NA
13;Niels;NA;NA;NA;NA;NA;1134;NA;NA;1104;NA;NA;1134;NA;NA;NA;NA
14;Erik;Emune;2;NA;NA;NA;1137;7;18;1134;NA;NA;1137;NA;NA;NA;NA
15;Erik;Lam;3;NA;NA;NA;1146;8;27;1137;7;18;1146;NA;NA;NA;NA
16;Svend;Grathe;3;NA;NA;NA;1157;NA;NA;1146;8;27;1157;NA;NA;NA;NA
17;Knud;Magnusson;5;NA;NA;NA;1157;NA;NA;1146;NA;NA;1157;NA;NA;NA;NA
18;Valdemar;"""den store""";1;1131;NA;NA;1182;NA;NA;1157;NA;NA;1182;NA;NA;NA;NA
19;Knud;NA;6;1163;NA;NA;1202;NA;NA;1182;NA;NA;1202;NA;NA;NA;NA
20;Valdemar;Sejr;2;1170;NA;NA;1241;NA;NA;1202;NA;NA;1241;NA;NA;NA;NA
21;Erik;Plovpenning;4;1216;NA;NA;1250;NA;NA;1241;NA;NA;1250;NA;NA;NA;NA
22;Abel;NA;NA;1218;NA;NA;1252;NA;NA;1250;NA;NA;1252;NA;NA;NA;NA
